SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Saale (1900),Princess; J L Luckenbach,North German Lloyd,Passenger,1886,"Glasgow, Scotland",6/30/00,1900,6,30,"Hoboken, NJ",Burned,Steel,Germany,439.6,48.1,34.6,5381,4964,"Breman, Germany","Bremen, Germany","New York, NY",J Mirow,,,80,,,,,N,N,Refloated; Repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
San Diego USS,,U S Navy,Armored Cruiser,1904,"San Francisco, CA",7/19/18,1918,7,19,Fire Island S 10 mi,Struck mine laid by U-56,Steel,US,503,69.5,26,13680,,,"Portsmouth, NH","New York, NY",HH Christy,1237,,50,,,,,Y,Y,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Andrea Doria,,Societa di Navigazione Italia,Passenger,1950,"Genoa, Italy",7/25/56,1956,7,25,Nantucket Island SE 45 mi,"Collision w/ ""Stockholm""",Steel,Italy,696,88.6,45.4,29100,,"Genoa, Italy","Genoa, Italy","New York, NY",Piero Calamai,575,1241,47,,,,,Y,Y,sank in 11 hours,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bristol,,Woodhull & Minturn,Packet,,,11/21/1836,1836,11,21,"Rockaway Beach, NY",Stranded,Wood,US,,,,,,"New York, NY","Liverpool, England","New York, NY",McKown,,120,51,,,,,Y,N,Ignored by pilot boats,,"New York, NY",ROOFTOP,40.714269,-74.005973
"Main ",,North German Lloyd,Passenger,1900,"Hamburg, Germany",6/30/00,1900,6,30,"Hoboken, NJ",Burned,Steel,Germany,501,50,37,10200,,"Breman, Germany","New York, NY","New York, NY",B Peterman,,,70,,,,Sandy Hook,N,N,Refloated and repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mexico,,Samuel Broome,Bark,1826,,1/1/1837,1837,1,1,Hempstead Beach LI Point Lookout,Stranded in gale,Wood,US,,,,275,,"New York, NY","Liverpool, England","New York, NY",Charles Winslow,12,112,37,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cayru,Chickasaw; Scanmail,Lloyd Brasileiro,Freighter,1919,"Hog Island, PA",3/8/42,1942,3,8,Stone Harbor E 39 mi,Torpedoed by U-94,Steel,Brazil,390,54.2,28,5152,3156,"Rio de Janeiro, Brazil","Rio de Janiero, Brazil","New York, NY",Pequeno,75,10,38,,,,,Y,Y,Sank; Hydro #537,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tolten,Lotta,,Freighter,1938,"Aalborg, Denmark",3/14/42,1942,3,14,Seaside Park E 13 mi,Torpedoed; war loss,Steel,Chile,281.5,43.5,19.7,1858,1014,Chile,"Baltimore, MD","New York, NY",,29,,28,,,Nitrates,,Y,Y,"Formerly ""Lotta""; Sank",,"New York, NY",ROOFTOP,40.714269,-74.005973
Miraflores,,Standard Fruit Co,Freighter,1921,"Wallsend, England",2/19/42,1942,2,19,Cape May SE 53 mi,Torpedoed by U-432,Steel,US,270,39,20,2755,,"New Orleans, LA",Haiti,"New York, NY",Charles Thompson,34,0,34,,,Tropical fruit,,Y,Y,#145445; ID'd by Gene Peterson,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bremen,,North German Lloyd,Passenger,1896,"Danzig, Germany",6/30/00,1900,6,30,"Hoboken, NJ",Burned,Steel,Germany,525.1,60.3,37,10525,,"Breman, Germany",,"New York, NY",Nierisch,,,40,,,,,N,N,"Beached at Weehawkin, NJ",,"New York, NY",ROOFTOP,40.714269,-74.005973
Betsey (1778),,,Brig,,,1778,1778,,,Tuckers Beach,Stranded,,,,,,,,,"Liverpool, England","New York, NY",,,,30,,,"Silver plate, silk, dry goods",,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hansa,,,Bark,,,12/3/1853,1853,12,3,Squan Beach,Stranded,,Germany,,,,,,"Bremen, Germany","Glasgow, Scotland","New York, NY",Brinkmann,,223,25,,,250 tons pig iron,,N,N,Refloated 12/12/1853,,"New York, NY",ROOFTOP,40.714269,-74.005973
Robert J Walker,Walker,U S Coast Survey,Sidewheel steam,1847,"Pittsburgh, PA",6/21/1860,1860,6,21,Absecon Beach E 12 mi,"Collision w/ ""Fanny""",Iron,US,134,30.8,,358,,,"Norfolk, VA","New York, NY",John Julius Guthrie,71,1,20,,,,,Y,Y,"Crew rescued by ""R G Porter""",,"New York, NY",ROOFTOP,40.714269,-74.005973
GulfTrade (1942),,Gulf Oil Corp,Tanker,1920,"Chester, PA",3/10/43,1943,3,10,Barnegat Inlet SE 3.5 mi,Torpedoed by U-588,Steel,US,429.3,59.2,31.4,6676,4223,"Philadelphia, PA","Port Arthur, TX","New York, NY",Torger Olsen,35,,19,,,"12,000 tons of bunker C fuel oil",,Y,Y,#219453; 16 survivors,USCG Casualty report in file,"New York, NY",ROOFTOP,40.714269,-74.005973
Maiden Creek,,Waterman SS Co,Freighter,1919,"Hog Island, PA",12/31/42,1942,12,31,"Block Island, RI E 70 mi",Torpedoed,Steel,US,390,54.2,27.6,5031,3078,"Mobile, AL",Newfoundland,"New York, NY",C R Cook,,,20,,,Copper & lead,,Y,Y,#218485; War loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary B Snee,,,Schooner,,,3/7/1868,1868,3,7,Long Beach Island,Stranded,,,,,,277,,"Philadelphia, PA",,"New York, NY",,14,,14,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Byron D Benson (4/1942),,Tidewater Assoc Oil Co,Tanker,1921,"Tampa, FL",4/5/42,1942,4,5,"Oregon Inlet, NC NE 28 mi",Torpedoed by U-552,,,465.4,60.2,27.8,7953,4932,"Wilmington, DE","Port Arthur, TX","New York, NY",John McMillian,37,,9,,,"100,000 barrels crude oil",,Y,Y,#221861; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Carolina (1918),,NY & Porto Rico SS Co,Passenger,1896,"Newport News, VA",6/2/18,1918,6,2,Sandy Hook SE 125 mi,Shelled by U-151,Steel,US,381.5,47.8,36.5,5093,3125,"Bath, ME","San Juan, Puerto Rico","New York, NY",,113,217,13,,,Sugar & Mail,,Y,Y,Black Sunday wreck,,"New York, NY",ROOFTOP,40.714269,-74.005973
Persephone,,Panama Transport Co,Tanker,1925,,5/25/42,1942,5,25,Barnegat Light NE 2.5 mi,Torpedoed; war loss,Steel,Panama,468.7,63.2,35.2,8426,,Panama,Aruba,"New York, NY",Hilge Quistgaard,37,,9,,,"90,000 bbls fuel oil",USCG Barnegat Light,Y,Y,Bow salvaged; stern sank; 21K bbls saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Deborah H Diverty,,,Schooner,1874,"Dennisville, NJ",6/26/1884,1884,6,26,Sea Isle City LSS E 12 mi,Foundered,,,,,,187.17,,"Dennisville, NJ","Richmond, VA","New York, NY",,,,9,,,Coal,Sea Isle City #34,,N,#6844,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kate Smith,,B. Hilton & Rogers,Bark,1864,"Yarmouth, NS",1/26/1871,1871,1,26,Little Egg Harbor N 5 mi,Stranded,,England,131.6,25.6,15,,404,"Yarmouth, NS",Spain,"New York, NY",,13,,9,,,Pigs of lead,,Y,N,Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Santiago De Cuba,,North American Steamship Co,Sidewheel steam,1861,"New York, NY",5/21/1867,1867,5,21,Atlantic City S 6 mi,Stranded,,,231,38,20,1627,,"New York, NY",Pacific Coast,"New York, NY",Behm,,317,7,,,General,Atlantic City & Ventner,N,Y,Refloated; returned to service,,"New York, NY",ROOFTOP,40.714269,-74.005973
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,Stranded in gale,,,,,,,,,"Philadelphia, PA","New York, NY",Nicholson,7,0,7,,,"Hides, spices, iron",,Y,N,"Crew, ship, cargo lost ",,"New York, NY",ROOFTOP,40.714269,-74.005973
La Tigre,,,Brig,,,1/11/1820,1820,1,11,Barnegat outer shoal,Stranded,,Spain,,,,,,"Cadiz, Spain","Cape May, NJ","New York, NY",Oliver Russell,8,,8,,,,,N,N,"Seized from privateer ""Constitution""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth (1850),,,Sailing ship,,,7/16/1850,1850,7,16,Fire Island Light E 5 mi,Stranded,Wood,US,,,,,,"Philadelphia, PA","Livorno (Leghorn) Italy ","New York, NY",Hasty,18,5,8,,,Fancy Italian stonework,,Y,N,Identified by divers,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry Clay (1846),,,Swallowtail Packet,1845,"New York, NY",03/1846,1846,3,,Squan Beach,Stranded,,,181.8,38,29.8,1207,,,"Liverpool, England","New York, NY",Nye,,300,6,,,,,N,N,Refloated; returned to service,,"New York, NY",ROOFTOP,40.714269,-74.005973
William B Trafford,,,Schooner,,,4/5/1857,1857,4,5,Barnegat Light E,Foundered in storm,Wood,US,,,,,,"New York, NY","Brigantine Beach, NJ","New York, NY",Robert E Newman,6,0,6,,,"2500 Hides from ""Charles William""",,Y,N,"Salvage ship for ""Charles William""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Raymond,,,,,,2/10/1843,1843,2,10,Great Egg Harbor,,,,,,,,,,"New Orleans, LA","New York, NY",Levenseller,,,7,,,Sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tasso,,Cropton,Bark,1838,"Sunderland, England",12/20/1856,1856,12,20,Barnegat Inlet S 2 mi,Stranded,Wood,England,,,,282,,"St John, NB, Canada ","Rio de Janiero, Brazil","New York, NY",James Goldsworthy,13,2,6,,,Coffee & rosewood,,Y,"N ",Broke up; two of lost were surfmen,"Also see ""new York"" (1856)","New York, NY",ROOFTOP,40.714269,-74.005973
Alfred Hall,,G P Wright,Schooner,1854,"Perth Amboy, NJ",1/23/1871,1871,1,23,Little Egg Harbor,Stranded,,,,,6,60,,"Baltimore, MD",,"New York, NY",Croft,5,0,6,,,,#17,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Chapparra,Tinhow,"Empresa Naviera de Cuba, S.A. ",Freighter,1906,"Port Glasgow, England",10/27/18,1918,10,27,Barnegat SE 10 mi,Hit mine from U-117,Steel,Cuba,249.5,38,17,1510,902,"Havana, Cuba","Cardenas, Mexico","New York, NY",Jose Vinslas,29,,6,,,Sugar,#112 & #113,Y,Y,,,"New York, NY",ROOFTOP,40.714269,-74.005973
William Gibbons,,,Steamer,,,1/2/1836,1836,1,2,Sandy Hook,Boiler exploded,,,,,,,,,"Charleston, SC","New York, NY",,,,6,,,,,,N,6 killed; several wounded,,"New York, NY",ROOFTOP,40.714269,-74.005973
T Tremlett,,,Schooner,,,7/1852,1852,7,,Squan Beach,Grounded,,England,,,,,,,Nova Scotia,"New York, NY",Bosajour,3,2,5,,,,,Y,N,Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
Trumlett,,,Schooner,,,4/21/1852,1852,4,21,Squan Village S 11 mi,Foundered in storm,,Canada,,,,,,Nova Scotia,"Canso, NS","New York, NY",Charles D Buserau,7,,5,,,Fish & fish oil,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Isaac Hinkley,,Spofford et al,Schooner,1852,"Rockland, ME",7/25/1871,1871,7,25,"Off Barnegat, NJ",Capsized,,US,,,9,167,,"New York, NY","James River, VA","New York, NY",J Randolph,6,,6,,,,,Y,N,Total loss; crew lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tremlet,,,Schooner,,,~1856,1856,,,Barnegat Inlet,Foundered,,England,,,,,,,Nova Scotia,"New York, NY",Basajour,10,,5,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Wilson & Hunting,,,Schooner,1883,"Alexandria, VA",11/9/04,1904,11,9,Barnegat Light E 10 mi,"Collision w/ ""Culgoa""",Wood,US,152,35,11.6,418,344,"Norfolk, VA","Norfolk, VA","New York, NY",Robert Walton,7,1,4,,,Pilings,,Y,N,#80976; Total loss; Capt & wife lost,See Misc File Drawer,"New York, NY",ROOFTOP,40.714269,-74.005973
Excelsior (1856),,,Schooner,,,~ 1/1/1856,1856,1,1,Barnegat Inlet N 5.5 mi,Grounded,,,,,,,,,"Port au Prince, Haiti","New York, NY",,,,5,,,,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Gwennie,,,Schooner,1902,"Bath, ME",1/24/08,1908,1,24,Barnegat NE 25 mi,Foundered,,,217.6,35.3,18.4,1087,994,"Baltimore, MD",Corn Island,"New York, NY",,5,,5,,,,,,N,#86654,,"New York, NY",ROOFTOP,40.714269,-74.005973
Christiania,,,Brig,,,12/27/1866,1866,12,27,Sandy Hook E 6 mi,"Collision w/ ""North American""",,Denmark,,,,285,,,"Rio de Janiero, Brazil","New York, NY",Cornelius Isbrandtsen,16,,4,,,,,Y,N,Pilot John Fredell also lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Pacific (1856A),,,Schooner,,,1/5/1856,1856,1,5,Little Egg Harbor,Grounded,,,,,,,,"Wilmington, DE","Wilmington, DE","New York, NY",Pharo,5,,4,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Select,,,Schooner,,,11/7/1842,1842,11,7,Shrewsbury Inlet,Stranded in gale,,,,,,,,"Great Egg Harbor, NJ","Richmond, VA","New York, NY",Powers,4,,4,,,Coal,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles Albert,Carlos Alberto,,Brig,,,8/28/1857,1857,8,28,Barnegat Inlet N 11.5 mi,Stranded,Wood,Italy,,,12,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15,44,3,,,Marble; wine; cheese,,,N,,"Real name ""Carlos Alberto""","New York, NY",ROOFTOP,40.714269,-74.005973
Powhatan (1961),,James Sands Darling Jr,Motor,1931,"Hampton, VA",4/10/61,1961,4,10,Cape May E 35 mi,"Collision w/ ""South African Pioneer""",Wood,US,77.5,19.6,6.6,61,,"Newport News, VA","Charleston, SC","New York, NY",Severn Robins,5,,4,,,,,Y,N,#231333; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eliza Nicholl,,,Schooner,,,11/30/1842,1842,11,30,Absecon Beach,Stranded,,,,,,,,"New Bedford, MA","Baltimore, MD","New York, NY",Baker,,,4,,,Flour & corn,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Plymouth (1893),Verona,,Barge,1870,Quebec PQ,4/20/1893,1893,4,20,Barnegat,Foundered,,US,,,,618.04,602.77,"New York, NY","Newport News, VA","New York, NY",,5,,3,,,Coal,,,N,"#54485; Formerly British ""Verona""",See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
T J Hooper,,,Schooner,1908,"Sharpton, MD",1/9/26,1926,1,9,"Highlands, NJ",Foundered,Wood,US,204,35.2,13.5,722,697,"Wilmington, DE","Hampton Roads, VA","New York, NY",,2,1,3,,,Coal,,,"N ",,Scrapbook #15,"New York, NY",ROOFTOP,40.714269,-74.005973
Joseph Holmes (1868),,,Schooner,1854,"Forked River, NJ",3/1868,1868,3,,Squan Beach,Stranded,,,90,29,10,174,,,"James River, VA","New York, NY",Auson,9,,3,,,Wood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Carlos Alberto,Charles Albert,,Brig,,,8/28/1857,1857,8,28,Barnegat Inlet N 11.5 mi,Stranded,Wood,Italy,,,12,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15,44,3,,,Marble; wine; cheese,,,N,,"Incorrectly reported as ""Charles Albert""","New York, NY",ROOFTOP,40.714269,-74.005973
Joseph Long,,T R Lyman,Schooner,1861,,3/15/1870,1870,3,15,Deal Beach,Stranded,,,94,26,8,158,,"Portland, ME","Kingston, Jamaica","New York, NY",E R Perry,5,,3,,,Coffee & Logwood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ida B II,Ina B II,,Yacht,1956,,10/26/58,1958,10,26,Shark River Inlet E 4 mi,Foundered,Wood,,30,,,,,,"Manasquan Inlet, NJ","New York, NY",,3,,3,,,,,Y,N,#10R2984; Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ellen H Sedgewick,,,Schooner,,,12/22/1849,1849,12,22,Absecon,Foundered in gale,,,,,,,,"Newark, NJ","Richmond, VA","New York, NY",Beaston,4,,3,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Addie E Sleeper,,,Bark,,,1/4/1879,1879,1,4,Highlands,Dismasted in gale,,US,,,,591,,,"Aspinwall, Central America","New York, NY",,,,3,,,Old iron,,N,N,Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Pattie Morrisette,Northern #14,Eastern Transportation Co,Barge,1917,"Havre De Grace, MD",1/24/35,1935,1,24,Five Fathom Bank Lightship,Foundered,Wood,US,204,35,14.6,971,913,"Wilmington, DE","Norfolk, VA","New York, NY",,3,,3,,,Coal,,,N,"#215821; Formerly ""Northern #14""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Phoenix (1926),,,Schooner,1898,"Noank, CT",2/3/26,1926,2,3,Sandy Hook,Stranded,Wood,,194,35,7.6,901,838,"Philadelphia, PA","Norfolk, VA","New York, NY",,3,,3,,,Coal,,,N,#150795,,"New York, NY",ROOFTOP,40.714269,-74.005973
Caledonia (1820),,,Sailing ship,,,12/28/1820,1820,12,28,Long Branch,Stranded,Wood,England,,,,300,,,"Liverpool, England","New York, NY",Struthers,,,3,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Grand Turk,,,Schooner,,,2/28/1853,1853,2,28,"Monmouth Beach, NJ",Grounded,,,,,,,,,"New Orleans, LA","New York, NY",,,,3,,,,,Y,N,Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
Frank Clark,,Morton et al,Brig,1867,"Damariscotta, ME",3/17/1876,1876,3,17,Barnegat E 1.5 mi,"Collision w/ ""Adelaide J Alcott""",Wood,US,113.8,27.1,11,297.05,,"Damariscotta, ME","St Thomas, WI","New York, NY",Samuel Morton,,,3,,,"Fish, wines, ets",,Y,N,#9754; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Virginia (1844),,,Schooner,,,3/18/1844,1844,3,18,Sandy Hook,"Collision w/ ""Emily""",Wood,US,,,,,,,"Norfolk, VA","New York, NY",Bedell,,,3,,,Corn; flour,,Y,N,"Total loss; Brew rescued by ""Emily""",,"New York, NY",ROOFTOP,40.714269,-74.005973
J Marbs,J Marks,,Ship,,,10/2/1848,1848,10,2,File Mile Beach,Stranded & bilged,Wood,Germany,,,,,,"Hamburg, Germany","Hamburg, Germany","New York, NY",Benske,,122,2,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mortimer Livingston,,Boyd & Hineken,Ship,1846,"Portsmouth, NH",1/24/1863,1863,1,24,Corsons Inlet,Stranded,,,132.3,29.5,12.8,214,,"New York, NY","Havre, Belgium","New York, NY",Sampson,,300,2,,,General,,Y,N,#1786; Vessel lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sarah Clark,,,Schooner,,,10/23/1878,1878,10,23,Pecks Beach LSS E 1 mi,Capsized in storm,,US,,,,163.8,,"Greenport, NY","Jacksonville, FL","New York, NY",,6,,2,,,Line Lumber,,Y,N,#23041; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maria (1855),,,Brig,,,3/13/1855,1855,3,13,Absecon Beach,Stranded,,England,,,,,,"London, England","Messina, Sicily","New York, NY",,10,,2,,,Oranges,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Puritan (1865),,,Schooner,,,1/5/1865,1865,1,5,Barnegat Inlet N 3 mi,,,US,,,,,,,South America,"New York, NY",,7,,2,,,Hides,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tonawanda,,,Steamer,1864,"Philadelphia, PA",1/1/1888,1888,1,1,Brigantine E 20 mi,Capsized,,US,176,29.6,18,845,,"Boston, MA","Darien, GA","New York, NY",W C Buckley,3,,2,,,Lumber,,Y,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Flora Woodhouse,,,Schooner,,,3/12/1888,1888,3,12,Barnegat Light SE 6 mi,Damaged in gale,,US,,,,266,,,"Laguano, Mexico","New York, NY",,,,2,,,Logwood,Barnegat,N,N,Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Carrie Winslow,,,Brig,,,2/11/1878,1878,2,11,New York Bay,Collision,,,,,,455,,,"Montevideo, Uraguay","New York, NY",,,,2,,,Hides and wool,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Java,,,Ship,,,12/1856,1856,12,,Sandy Hook West Bank,Stranded,,,,,,,,,"Greenock, Scotland","New York, NY",,,,2,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ayrshire (1850),,Buoun & Co,Bark,1845,"Quebec, Canada",1/12/1850,1850,1,12,Squan Inlet S 8.1 mi,Grounded in snow storm,Wood,England,,,,625,,"Bristol, England","Newry, Ireland","New York, NY",J P M McGlew,47,202,1,,,37 ton iron; 280 ton coal,,Y,Y,1st use of Francis life car,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jupiter (1783),,,Merchantman,,,9/19/1783,1783,9,19,Cape May,Lost in gale,,,,,,,,,"Jamaica, WI","New York, NY",Rumage,,,2,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Spartan Lady,Sologne,Compania Marittina Lacona,Tanker,1954,"Schiedam, Netherlands",4/3/75,1975,4,3,Cape May E 250 mi,Foundered in storm,Steel,Liberia,557.8,73.1,30.6,12689,,Liberia,,"New York, NY",,36,,1,,,,,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Register,,,Schooner,,,2/15/1846,1846,2,14,"Long Branch, NJ",Stranded in gale,,,,,,100,,,"New Bern, NC","New York, NY",Powers,5,1,1,,,Turpentine & peas,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Orville Harden,,Panama Transport Co,Twin diesel tanker,,,2/4/45,1945,2,4,Ambrose Channel S 2 mi,Collision,,,,,,17990,,,"Beaumont, TX","New York, NY",Koj Borgly,57,,1,,,"109,486 bbls fuel oil",,N,N,Raised & refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,Stranded,,,,,,,,,"Cardenas, Mexico","New York, NY",,10,,1,,,,,,N,"aka ""A D Field""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Plow City,,Hodges SS Co,Freighter,,,5/21/42,1942,5,21,Cape May E 200 mi,Torpedoed by U-588,,,,,,3284,,"Wilmington, DE","Trinidad, BWI","New York, NY",George Haveleaf,31,,1,,,4970 ton Bauxite,,Y,N,War loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
New Orleans,,Boca Grande SS Co,Freighter,1872,"Wilmington, DE",10/13/17,1917,10,13,Five Fathom Bank,Foundered in gale,Iron,US,249,33,24.4,1564,1017,"Wilmington, DE","Sabine, TX","New York, NY",,27,,1,,,1600 ton sulphur,,Y,N,#18726; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Bossert,,L Bossert & Son,Schooner,1904,"Bath, ME",2/15/16,1916,2,15,"Seabright, NJ",Burned,,US,170.7,36,12.8,601,492,"New York, NY","Georgetown, SC","New York, NY",H P Smith,8,,1,,,Lumber,,Y,N,#201579 Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Phoenix (1871),,,Tug,,,1/28/1871,1871,1,28,Sandy Hook,Boiler exploded,,,,,,,,,,"New York, NY",Monks,5,,1,,,,,Y,N,"Total loss; Was towing ""Hudson""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Industry (1773),,,Schooner,,,6/19/1773,1773,6,19,Egg Harbor Inlet,Stranded,Wood,US,25,,,,,North Carolina,North Carolina,"New York, NY",James Grant,2,,1,,,"Furs, cloths, etc",,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Arkansas (1846),,,Schooner,,,2/15/1846,1846,2,15,Sandy Hook S 12 mi,Stranded in gale,Wood,US,,,,,,,"Elizabeth City, NC","New York, NY",Pierce,7,,1,,,Corn,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth (1764),,,Sloop,,,12/1/1764,1764,12,1,Brigantine Beach,Stranded,,England,,,,,,,"Philadelphia, PA","New York, NY",Killgour,,,1,,,,,Y,N,#1149; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ellen H Perkins,,,Schooner,,,5/16/1851,1851,5,16,Shark River Inlet,Grounded in gale,,,,,,,,"New London, CT",Virginia,"New York, NY",Smith,,,1,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
H W Race,,,Schooner,,,12/10/1878,1878,12,10,Atlantic City,Stranded,,US,,,,80,,,"Hampton Roads, VA","New York, NY",,,,1,,,Oysters,,N,N,Partial Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sally (1823),,,Schooner,,,1/1823,1823,1,,Cape May,Grounded,,,,,,,,,"Norfolk, VA","New York, NY",,,,1,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Galaxy (1836),,,Bark,,,3/16/1836,1836,3,16,Barnegat Light S 3 mi,Stranded,,,,,,,,,"Canton, China","New York, NY",,,,1,,,Teas,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sant Francisco Di Paulo,,,,,,10/7/1794,1794,10,7,Little Egg Harbor bar,Stranded,,,,,,,,"Genoa, Italy","Nantz, France","New York, NY",Nicholas Catuline,,,1,,,,,Y,N,Total Loss; Captain lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sovereign (1835),,Black X Line,Packet,1830,"New York, NY",2/17/1835,1835,2,17,Squan Beach,Stranded in storm,,,124.2,28.8,14.4,462,,,"London, England","New York, NY",,,,1,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nellie Floyd,,,Schooner,1879,"Port Jefferson, NY",2/6/1884,1884,2,6,Highlands SSE 18 mi,"Collision w/ ""Royal Arch"" in fog",,,136,33,15.4,457.6,434.72,"New York, NY","Georgetown, SC","New York, NY",,,,1,,,Naval stores and cotton,,N,N,#130144; Partial loss; made port,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sarah A Green,,N Blanchard,Schooner,1865,"East Boston, MA",4/5/1868,1868,4,5,"Ludlams Beach, NJ",Stranded,,,,,,94,,"Boston, MA","Boston, MA","New York, NY",Elliot,5,,0,,,General cargo,,Y,N,Vessel lost; cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Western World,,D & A Kingsland,Packet,1845,"Portsmouth, NH",10/22/1853,1853,10,22,Squan Beach E 400yds,Grounded in gale,Wood,US,183,40,20,1354,,"New York, NY","Liverpool, England","New York, NY",John G Moses,,600,0,,,"China, cowboy spurs, misc",,,Y,,,"New York, NY",ROOFTOP,40.714269,-74.005973
